period_month,temp_mean_c_avg,temp_max_c_avg,temp_max_c_peak,temp_min_c_avg,temp_min_c_low,temp_range_c_avg,rh_mean_pct_avg,rainfall_mm_sum,rainfall_day_count,hot_day_count,cool_day_count
2003-08-01,28.84193548387097,31.248387096774195,33.7,26.848387096774193,24.7,4.4,80.6774193548387,415.0,22,24,0
2003-09-01,27.57,29.583333333333332,32.6,25.976666666666667,23.6,3.6066666666666674,81.46666666666667,394.0,15,11,0
2003-10-01,25.261290322580646,27.138709677419353,29.8,23.606451612903225,19.9,3.532258064516129,71.16129032258064,48.6,2,0,0
2003-11-01,22.19333333333333,24.053333333333335,29.6,20.493333333333332,13.9,3.56,74.93333333333334,50.1,5,0,0
2003-12-01,17.60967741935484,19.68064516129032,25.3,15.63225806451613,10.3,4.048387096774194,65.45161290322581,0.0,0,0,2
2004-01-01,15.82258064516129,17.5258064516129,23.4,14.174193548387096,8.0,3.351612903225806,73.38709677419355,51.0,6,0,8
2004-02-01,17.20344827586207,19.42413793103448,24.8,15.39655172413793,7.7,4.027586206896552,78.75862068965517,51.8,5,0,8
2004-03-01,19.103225806451615,21.083870967741937,26.2,17.712903225806453,13.3,3.370967741935484,80.35483870967742,104.3,11,0,0
2004-04-01,22.903333333333332,25.266666666666666,30.7,21.186666666666667,16.5,4.08,83.23333333333333,147.2,10,1,0
2004-05-01,26.296774193548387,28.629032258064516,32.4,24.47741935483871,19.0,4.151612903225806,82.06451612903226,194.4,10,10,0
2004-06-01,28.563333333333333,30.766666666666666,34.2,26.84,24.5,3.926666666666667,78.43333333333334,144.7,12,20,0
2004-07-01,28.416129032258063,30.509677419354837,34.6,26.62258064516129,22.7,3.8870967741935485,81.80645161290323,386.7,20,21,0
2004-08-01,28.432258064516127,30.74516129032258,33.9,26.52258064516129,24.7,4.22258064516129,81.61290322580645,488.5,17,20,0
2004-09-01,27.623333333333335,29.873333333333335,32.6,25.873333333333335,23.9,4.0,77.36666666666666,167.29999999999998,9,20,0
2004-10-01,24.92258064516129,27.458064516129035,30.8,22.874193548387098,20.9,4.583870967741936,64.38709677419355,2.3,1,2,0
2004-11-01,22.686666666666667,24.529999999999998,27.5,21.06,17.8,3.47,73.06666666666666,0.4,1,0,0
2004-12-01,19.067741935483873,21.14516129032258,25.8,17.15806451612903,8.2,3.9870967741935486,69.6774193548387,0.0,0,0,4
2005-01-01,15.906451612903227,17.861290322580647,21.6,14.170967741935485,6.4,3.6903225806451614,75.41935483870968,5.9,4,0,6
2005-02-01,16.467857142857145,18.32857142857143,24.7,14.775,9.0,3.5535714285714284,85.71428571428571,19.2,11,0,5
2005-03-01,17.36774193548387,19.651612903225807,26.1,15.248387096774193,9.5,4.403225806451613,80.19354838709677,52.6,14,0,6
2005-04-01,23.086666666666666,25.38,29.2,21.263333333333332,14.6,4.116666666666666,83.06666666666666,32.3,12,0,0
2005-05-01,26.967741935483872,28.838709677419356,32.6,25.293548387096774,22.0,3.545161290322581,84.45161290322581,508.6,17,9,0
2005-06-01,27.756666666666668,29.723333333333336,33.4,25.903333333333332,23.2,3.82,84.96666666666667,893.9,24,15,0
2005-07-01,29.093548387096774,31.79032258064516,35.4,26.89032258064516,24.6,4.9,79.7741935483871,360.4,13,24,0
2005-08-01,28.051612903225806,30.187096774193545,33.5,26.345161290322583,23.9,3.841935483870968,84.96774193548387,971.3000000000001,21,18,0
2005-09-01,28.209999999999997,30.35,34.3,26.503333333333334,23.5,3.8466666666666662,80.63333333333334,352.59999999999997,15,21,0
2005-10-01,26.19677419354839,28.34193548387097,32.4,24.429032258064513,20.5,3.912903225806451,71.90322580645162,6.6000000000000005,6,6,0
2005-11-01,22.970000000000002,25.03666666666667,28.5,21.363333333333333,15.4,3.6733333333333333,76.76666666666667,1.6,1,0,0
2005-12-01,17.041935483870965,19.14516129032258,24.0,15.003225806451614,10.4,4.141935483870968,64.2258064516129,9.5,3,0,6
2006-01-01,16.438709677419357,18.351612903225806,23.6,14.654838709677419,8.0,3.6967741935483875,79.16129032258064,16.3,7,0,8
2006-02-01,17.675,20.07857142857143,25.3,15.789285714285715,9.7,4.289285714285714,81.14285714285714,37.7,6,0,1
2006-03-01,18.47741935483871,20.53548387096774,26.2,16.58709677419355,9.0,3.948387096774194,85.64516129032258,48.4,12,0,4
2006-04-01,23.93,26.3,30.1,22.026666666666664,15.1,4.2733333333333325,84.13333333333334,199.20000000000002,10,1,0
2006-05-01,25.82903225806452,28.019354838709678,31.5,24.0258064516129,20.5,3.9935483870967747,83.29032258064517,431.5,16,7,0
2006-06-01,27.959999999999997,29.876666666666665,32.9,26.316666666666666,21.9,3.5599999999999996,84.8,469.2,23,15,0
2006-07-01,28.961290322580645,31.161290322580644,34.0,27.02258064516129,23.7,4.138709677419355,82.45161290322581,569.2,20,25,0
2006-08-01,28.316129032258065,30.76451612903226,32.5,26.52258064516129,24.3,4.241935483870968,83.51612903225806,275.40000000000003,15,21,0
